"strain","gene_id","go_level","go_description","go_id"
"Synechocystis","slr0758","Biological Process","regulation of transcription","GO:0045449"
"Synechocystis","slr0758","Molecular Function","ATP binding","GO:0005524"
"Synechocystis","slr0758","Molecular Function","DNA binding","GO:0003677"
"Synechocystis","slr0758","Molecular Function","magnesium ion binding","GO:0000287"
"Synechocystis","slr0758","Molecular Function","protein serine/threonine kinase activity","GO:0004674"
"Synechocystis","slr0765","Biological Process","transmembrane transport","GO:0055085"
"Synechocystis","slr0765","Cellular Component","membrane","GO:0016020"
"Synechocystis","slr0772","Biological Process","chlorophyll biosynthetic process","GO:0015995"
"Synechocystis","slr0772","Biological Process","oxidation reduction","GO:0055114"
"Synechocystis","slr0772","Biological Process","photosynthesis","GO:0015979"
"Synechocystis","slr0772","Biological Process","photosynthesis, dark reaction","GO:0019685"
"Synechocystis","slr0772","Biological Process","pigment biosynthetic process","GO:0046148"
"Synechocystis","slr0772","Molecular Function","oxidoreductase activity","GO:0016491"
"Synechocystis","slr0772","Molecular Function","oxidoreductase activity, acting on iron-sulfur proteins as donors","GO:0016730"
"Synechocystis","slr0773","Biological Process","metabolic process","GO:0008152"
"Synechocystis","slr0773","Biological Process","potassium ion transport","GO:0006813"
"Synechocystis","slr0773","Molecular Function","binding","GO:0005488"
"Synechocystis","slr0773","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","slr0773","Molecular Function","cation transmembrane transporter activity","GO:0008324"
"Synechocystis","slr0775","Biological Process","intracellular protein transport","GO:0006886"
"Synechocystis","slr0775","Biological Process","protein secretion by the type II secretion system","GO:0015628"
"Synechocystis","slr0775","Cellular Component","type II protein secretion system complex","GO:0015627"
"Synechocystis","slr0775","Molecular Function","P-P-bond-hydrolysis-driven protein transmembrane transporter activity","GO:0015450"
"Synechocystis","slr0775","Molecular Function","protein transporter activity","GO:0008565"
"Synechocystis","slr0776","Biological Process","lipid A biosynthetic process","GO:0009245"
"Synechocystis","slr0776","Molecular Function","transferase activity","GO:0016740"
"Synechocystis","slr0776","Molecular Function","transferase activity, transferring acyl groups other than amino-acyl groups","GO:0016747"
"Synechocystis","slr0782","Biological Process","oxidation reduction","GO:0055114"
"Synechocystis","slr0782","Molecular Function","oxidoreductase activity","GO:0016491"
"Synechocystis","slr0783","Biological Process","metabolic process","GO:0008152"
"Synechocystis","slr0783","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","slr0783","Molecular Function","triose-phosphate isomerase activity","GO:0004807"
"Synechocystis","slr0786","Biological Process","cellular process","GO:0009987"
"Synechocystis","slr0786","Biological Process","proteolysis","GO:0006508"
"Synechocystis","slr0786","Molecular Function","aminopeptidase activity","GO:0004177"
"Synechocystis","slr0786","Molecular Function","metalloexopeptidase activity","GO:0008235"
"Synechocystis","slr0787","Biological Process","biosynthetic process","GO:0009058"
"Synechocystis","slr0787","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","slr0787","Molecular Function","hydrolase activity","GO:0016787"
"Synechocystis","slr0787","Molecular Function","nucleotidyltransferase activity","GO:0016779"
"Synechocystis","slr0790","Biological Process","DNA repair","GO:0006281"
"Synechocystis","slr0790","Molecular Function","DNA-directed DNA polymerase activity","GO:0003887"
"Synechocystis","slr0790","Molecular Function","damaged DNA binding","GO:0003684"
"Synechocystis","slr0794","Biological Process","cation transport","GO:0006812"
"Synechocystis","slr0794","Biological Process","transport","GO:0006810"
"Synechocystis","slr0794","Cellular Component","integral to membrane","GO:0016021"
"Synechocystis","slr0794","Cellular Component","membrane","GO:0016020"
"Synechocystis","slr0794","Molecular Function","cation transmembrane transporter activity","GO:0008324"
"Synechocystis","slr0794","Molecular Function","transporter activity","GO:0005215"
"Synechocystis","slr0795","Biological Process","cell wall macromolecule catabolic process","GO:0016998"
"Synechocystis","slr0795","Biological Process","peptidoglycan catabolic process","GO:0009253"
"Synechocystis","slr0795","Molecular Function","lysozyme activity","GO:0003796"
"Synechocystis","slr0796","Biological Process","transmembrane transport","GO:0055085"
"Synechocystis","slr0797","Biological Process","ATP biosynthetic process","GO:0006754"
"Synechocystis","slr0797","Biological Process","metabolic process","GO:0008152"
"Synechocystis","slr0797","Biological Process","metal ion transport","GO:0030001"
"Synechocystis","slr0797","Cellular Component","integral to membrane","GO:0016021"
"Synechocystis","slr0797","Cellular Component","membrane","GO:0016020"
"Synechocystis","slr0797","Molecular Function","ATP binding","GO:0005524"
"Synechocystis","slr0797","Molecular Function","ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism","GO:0015662"
"Synechocystis","slr0797","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","slr0797","Molecular Function","hydrolase activity","GO:0016787"
"Synechocystis","slr0797","Molecular Function","hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances","GO:0016820"
"Synechocystis","slr0797","Molecular Function","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides","GO:0016818"
"Synechocystis","slr0797","Molecular Function","metal ion binding","GO:0046872"
"Synechocystis","slr0797","Molecular Function","metal ion transmembrane transporter activity","GO:0046873"
"Synechocystis","slr0798","Biological Process","ATP biosynthetic process","GO:0006754"
"Synechocystis","slr0798","Biological Process","cation transport","GO:0006812"
"Synechocystis","slr0798","Biological Process","metabolic process","GO:0008152"
"Synechocystis","slr0798","Biological Process","metal ion transport","GO:0030001"
"Synechocystis","slr0798","Cellular Component","integral to membrane","GO:0016021"
"Synechocystis","slr0798","Cellular Component","membrane","GO:0016020"
"Synechocystis","slr0798","Molecular Function","ATP binding","GO:0005524"
"Synechocystis","slr0798","Molecular Function","ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism","GO:0015662"
"Synechocystis","slr0798","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","slr0798","Molecular Function","cation channel activity","GO:0005261"
"Synechocystis","slr0798","Molecular Function","hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances","GO:0016820"
"Synechocystis","slr0798","Molecular Function","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides","GO:0016818"
"Synechocystis","slr0798","Molecular Function","metal ion binding","GO:0046872"
"Synechocystis","slr0798","Molecular Function","metal ion transmembrane transporter activity","GO:0046873"
"Synechocystis","slr0800","Biological Process","transposition, DNA-mediated","GO:0006313"
"Synechocystis","slr0800","Molecular Function","DNA binding","GO:0003677"
"Synechocystis","slr0800","Molecular Function","transposase activity","GO:0004803"
"Synechocystis","slr0804","Biological Process","proteolysis","GO:0006508"
"Synechocystis","slr0804","Molecular Function","serine-type carboxypeptidase activity","GO:0004185"
"Synechocystis","slr0806","Molecular Function","FAD binding","GO:0050660"
"Synechocystis","slr0806","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","slr0806","Molecular Function","oxidoreductase activity","GO:0016491"
"Synechocystis","slr0807","Biological Process","proteolysis","GO:0006508"
"Synechocystis","slr0807","Molecular Function","endopeptidase activity","GO:0004175"
"Synechocystis","slr0807","Molecular Function","metalloendopeptidase activity","GO:0004222"
"Synechocystis","slr0807","Molecular Function","zinc ion binding","GO:0008270"
"Synechocystis","slr0808","Biological Process","rRNA processing","GO:0006364"
"Synechocystis","slr0808","Cellular Component","ribosome","GO:0005840"
"Synechocystis","slr0808","Molecular Function","ribosome binding","GO:0043022"
"Synechocystis","slr0809","Biological Process","cellular metabolic process","GO:0044237"
"Synechocystis","slr0809","Biological Process","metabolic process","GO:0008152"
"Synechocystis","slr0809","Molecular Function","binding","GO:0005488"
"Synechocystis","slr0809","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","slr0809","Molecular Function","coenzyme binding","GO:0050662"
"Synechocystis","slr0812","Biological Process","positive regulation of transcription","GO:0045941"
"Synechocystis","slr0812","Molecular Function","transcription activator activity","GO:0016563"
"Synechocystis","slr0817","Biological Process","biosynthetic process","GO:0009058"
"Synechocystis","slr0817","Molecular Function","isochorismate synthase activity","GO:0008909"
"Synechocystis","slr0819","Biological Process","lipoprotein biosynthetic process","GO:0042158"
"Synechocystis","slr0819","Biological Process","nitrogen compound metabolic process","GO:0006807"
"Synechocystis","slr0819","Cellular Component","integral to membrane","GO:0016021"
"Synechocystis","slr0819","Molecular Function","N-acyltransferase activity","GO:0016410"
"Synechocystis","slr0819","Molecular Function","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","GO:0016810"
"Synechocystis","slr0822","Biological Process","ATP biosynthetic process","GO:0006754"
"Synechocystis","slr0822","Biological Process","cation transport","GO:0006812"
"Synechocystis","slr0822","Biological Process","metabolic process","GO:0008152"
"Synechocystis","slr0822","Cellular Component","membrane","GO:0016020"
"Synechocystis","slr0822","Molecular Function","ATP binding","GO:0005524"
"Synechocystis","slr0822","Molecular Function","ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism","GO:0015662"
"Synechocystis","slr0822","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","slr0822","Molecular Function","hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances","GO:0016820"
"Synechocystis","slr0823","Molecular Function","binding","GO:0005488"
"Synechocystis","slr0829","Biological Process","regulation of transcription, DNA-dependent","GO:0006355"
"Synechocystis","slr0829","Biological Process","signal transduction","GO:0007165"
"Synechocystis","slr0829","Biological Process","two-component signal transduction system (phosphorelay)","GO:0000160"
"Synechocystis","slr0829","Cellular Component","integral to membrane","GO:0016021"
"Synechocystis","slr0829","Molecular Function","signal transducer activity","GO:0004871"
"Synechocystis","slr0829","Molecular Function","two-component sensor activity","GO:0000155"
"Synechocystis","slr0833","Biological Process","DNA replication","GO:0006260"
"Synechocystis","slr0833","Biological Process","intein-mediated protein splicing","GO:0016539"
"Synechocystis","slr0833","Cellular Component","ribonucleoside-diphosphate reductase complex","GO:0005971"
"Synechocystis","slr0833","Molecular Function","ATP binding","GO:0005524"
"Synechocystis","slr0833","Molecular Function","DNA binding","GO:0003677"
"Synechocystis","slr0833","Molecular Function","DNA helicase activity","GO:0003678"
"Synechocystis","slr0833","Molecular Function","endonuclease activity","GO:0004519"
"Synechocystis","slr0833","Molecular Function","ribonucleoside-diphosphate reductase activity","GO:0004748"
"Synechocystis","slr0835","Molecular Function","ATP binding","GO:0005524"
"Synechocystis","slr0835","Molecular Function","ATPase activity","GO:0016887"
"Synechocystis","slr0836","Biological Process","cellular metabolic process","GO:0044237"
"Synechocystis","slr0836","Biological Process","metabolic process","GO:0008152"
"Synechocystis","slr0836","Biological Process","nucleotide-sugar metabolic process","GO:0009225"
"Synechocystis","slr0836","Molecular Function","binding","GO:0005488"
"Synechocystis","slr0836","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","slr0836","Molecular Function","coenzyme binding","GO:0050662"
"Synechocystis","slr0836","Molecular Function","dTDP-glucose 4,6-dehydratase activity","GO:0008460"
"Synechocystis","slr0838","Biological Process","'de novo' IMP biosynthetic process","GO:0006189"
"Synechocystis","slr0838","Cellular Component","cytoplasm","GO:0005737"
"Synechocystis","slr0838","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","slr0838","Molecular Function","phosphoribosylformylglycinamidine cyclo-ligase activity","GO:0004641"
"Synechocystis","slr0839","Biological Process","heme biosynthetic process","GO:0006783"
"Synechocystis","slr0839","Molecular Function","ferrochelatase activity","GO:0004325"
"Synechocystis","slr0842","Biological Process","regulation of protein amino acid phosphorylation","GO:0001932"
"Synechocystis","slr0842","Cellular Component","cAMP-dependent protein kinase complex","GO:0005952"
"Synechocystis","slr0842","Molecular Function","cAMP-dependent protein kinase regulator activity","GO:0008603"
"Synechocystis","slr0844","Biological Process","ATP synthesis coupled electron transport","GO:0042773"
"Synechocystis","slr0844","Biological Process","oxidation reduction","GO:0055114"
"Synechocystis","slr0844","Molecular Function","NADH dehydrogenase (ubiquinone) activity","GO:0008137"
"Synechocystis","slr0847","Biological Process","biosynthetic process","GO:0009058"
"Synechocystis","slr0847","Biological Process","coenzyme A biosynthetic process","GO:0015937"
"Synechocystis","slr0847","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","slr0847","Molecular Function","nucleotidyltransferase activity","GO:0016779"
"Synechocystis","slr0847","Molecular Function","pantetheine-phosphate adenylyltransferase activity","GO:0004595"
"Synechocystis","slr0851","Biological Process","oxidation reduction","GO:0055114"
"Synechocystis","slr0851","Molecular Function","FAD binding","GO:0050660"
"Synechocystis","slr0851","Molecular Function","oxidoreductase activity","GO:0016491"
"Synechocystis","slr0853","Biological Process","N-terminal protein amino acid acetylation","GO:0006474"
"Synechocystis","slr0853","Biological Process","metabolic process","GO:0008152"
"Synechocystis","slr0853","Molecular Function","N-acetyltransferase activity","GO:0008080"
"Synechocystis","slr0853","Molecular Function","acetyltransferase activity","GO:0016407"
"Synechocystis","slr0854","Biological Process","DNA repair","GO:0006281"
"Synechocystis","slr0854","Molecular Function","DNA photolyase activity","GO:0003913"
"Synechocystis","slr0861","Biological Process","purine ribonucleotide biosynthetic process","GO:0009152"
"Synechocystis","slr0861","Molecular Function","ATP binding","GO:0005524"
"Synechocystis","slr0861","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","slr0861","Molecular Function","hydroxymethyl-, formyl- and related transferase activity","GO:0016742"
"Synechocystis","slr0861","Molecular Function","magnesium ion binding","GO:0000287"
"Synechocystis","slr0862","Biological Process","metabolic process","GO:0008152"
"Synechocystis","slr0862","Biological Process","phosphorylation","GO:0016310"
"Synechocystis","slr0862","Molecular Function","ATP binding","GO:0005524"
"Synechocystis","slr0862","Molecular Function","kinase activity","GO:0016301"
"Synechocystis","slr0864","Molecular Function","ATP binding","GO:0005524"
"Synechocystis","slr0864","Molecular Function","ATPase activity","GO:0016887"
"Synechocystis","slr0864","Molecular Function","nucleoside-triphosphatase activity","GO:0017111"
"Synechocystis","slr0864","Molecular Function","nucleotide binding","GO:0000166"
"Synechocystis","slr0868","Biological Process","protein amino acid phosphorylation","GO:0006468"
"Synechocystis","slr0868","Molecular Function","ATP binding","GO:0005524"
"Synechocystis","slr0868","Molecular Function","protein kinase activity","GO:0004672"
"Synechocystis","slr0869","Molecular Function","GTP binding","GO:0005525"
"Synechocystis","slr0869","Molecular Function","GTPase activity","GO:0003924"
"Synechocystis","slr0875","Biological Process","transport","GO:0006810"
"Synechocystis","slr0875","Cellular Component","integral to membrane","GO:0016021"
"Synechocystis","slr0875","Molecular Function","ion channel activity","GO:0005216"
"Synechocystis","slr0876","Biological Process","oxidation reduction","GO:0055114"
"Synechocystis","slr0876","Molecular Function","oxidoreductase activity","GO:0016491"
"Synechocystis","slr0877","Biological Process","translation","GO:0006412"
"Synechocystis","slr0877","Molecular Function","carbon-nitrogen ligase activity, with glutamine as amido-N-donor","GO:0016884"
"Synechocystis","slr0878","Biological Process","cell wall macromolecule catabolic process","GO:0016998"
"Synechocystis","slr0878","Biological Process","proteolysis","GO:0006508"
"Synechocystis","slr0878","Molecular Function","metalloendopeptidase activity","GO:0004222"
"Synechocystis","slr0879","Biological Process","glycine catabolic process","GO:0006546"
"Synechocystis","slr0879","Cellular Component","glycine cleavage complex","GO:0005960"
"Synechocystis","slr0879","Cellular Component","mitochondrion","GO:0005739"
"Synechocystis","slr0882","Cellular Component","integral to membrane","GO:0016021"
"Synechocystis","slr0886","Biological Process","fatty acid biosynthetic process","GO:0006633"
"Synechocystis","slr0886","Biological Process","metabolic process","GO:0008152"
"Synechocystis","slr0886","Biological Process","oxidation reduction","GO:0055114"
"Synechocystis","slr0886","Molecular Function","3-oxoacyl-[acyl-carrier-protein] reductase activity","GO:0004316"
"Synechocystis","slr0886","Molecular Function","NAD or NADH binding","GO:0051287"
"Synechocystis","slr0886","Molecular Function","binding","GO:0005488"
"Synechocystis","slr0886","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","slr0886","Molecular Function","oxidoreductase activity","GO:0016491"
"Synechocystis","slr0887","Biological Process","metabolic process","GO:0008152"
"Synechocystis","slr0887","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","slr0889","Biological Process","protein amino acid phosphorylation","GO:0006468"
"Synechocystis","slr0889","Molecular Function","ATP binding","GO:0005524"
"Synechocystis","slr0889","Molecular Function","protein kinase activity","GO:0004672"
"Synechocystis","slr0891","Biological Process","peptidoglycan catabolic process","GO:0009253"
"Synechocystis","slr0891","Molecular Function","N-acetylmuramoyl-L-alanine amidase activity","GO:0008745"
"Synechocystis","slr0895","Biological Process","regulation of transcription","GO:0045449"
"Synechocystis","slr0895","Biological Process","regulation of transcription, DNA-dependent","GO:0006355"
"Synechocystis","slr0895","Molecular Function","DNA binding","GO:0003677"
"Synechocystis","slr0895","Molecular Function","transcription factor activity","GO:0003700"
"Synechocystis","slr0896","Biological Process","multidrug transport","GO:0006855"
"Synechocystis","slr0896","Biological Process","transmembrane transport","GO:0055085"
"Synechocystis","slr0896","Cellular Component","membrane","GO:0016020"
"Synechocystis","slr0896","Molecular Function","antiporter activity","GO:0015297"
"Synechocystis","slr0896","Molecular Function","drug transmembrane transporter activity","GO:0015238"
"Synechocystis","slr0897","Biological Process","carbohydrate metabolic process","GO:0005975"
"Synechocystis","slr0897","Molecular Function","carbohydrate binding","GO:0030246"
"Synechocystis","slr0897","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","slr0897","Molecular Function","hydrolase activity, hydrolyzing O-glycosyl compounds","GO:0004553"
"Synechocystis","slr0897","Molecular Function","polysaccharide binding","GO:0030247"
"Synechocystis","slr0898","Biological Process","oxidation reduction","GO:0055114"
"Synechocystis","slr0898","Molecular Function","heme binding","GO:0020037"
"Synechocystis","slr0898","Molecular Function","iron-sulfur cluster binding","GO:0051536"
"Synechocystis","slr0898","Molecular Function","oxidoreductase activity","GO:0016491"
"Synechocystis","slr0749","Biological Process","chlorophyll biosynthetic process","GO:0015995"
"Synechocystis","slr0749","Biological Process","oxidation reduction","GO:0055114"
"Synechocystis","slr0749","Biological Process","photosynthesis, dark reaction","GO:0019685"
"Synechocystis","slr0749","Biological Process","pigment biosynthetic process","GO:0046148"
"Synechocystis","slr0749","Molecular Function","ATP binding","GO:0005524"
"Synechocystis","slr0749","Molecular Function","oxidoreductase activity","GO:0016491"
"Synechocystis","slr0749","Molecular Function","oxidoreductase activity, acting on iron-sulfur proteins as donors","GO:0016730"
"Synechocystis","slr0774","Biological Process","intracellular protein transport","GO:0006886"
"Synechocystis","slr0774","Biological Process","protein secretion by the type II secretion system","GO:0015628"
"Synechocystis","slr0774","Biological Process","transport","GO:0006810"
"Synechocystis","slr0774","Cellular Component","membrane","GO:0016020"
"Synechocystis","slr0774","Cellular Component","type II protein secretion system complex","GO:0015627"
"Synechocystis","slr0774","Molecular Function","P-P-bond-hydrolysis-driven protein transmembrane transporter activity","GO:0015450"
"Synechocystis","slr0774","Molecular Function","protein transporter activity","GO:0008565"
"Synechocystis","slr0774","Molecular Function","transporter activity","GO:0005215"
"Synechocystis","slr0827","Biological Process","alanine metabolic process","GO:0006522"
"Synechocystis","slr0827","Molecular Function","alanine racemase activity","GO:0008784"
"Synechocystis","slr0827","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","slr0884","Biological Process","glucose metabolic process","GO:0006006"
"Synechocystis","slr0884","Biological Process","metabolic process","GO:0008152"
"Synechocystis","slr0884","Biological Process","oxidation reduction","GO:0055114"
"Synechocystis","slr0884","Molecular Function","NAD or NADH binding","GO:0051287"
"Synechocystis","slr0884","Molecular Function","binding","GO:0005488"
"Synechocystis","slr0884","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","slr0884","Molecular Function","glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) activity","GO:0004365"
"Synechocystis","slr0884","Molecular Function","glyceraldehyde-3-phosphate dehydrogenase activity","GO:0008943"
"Synechocystis","slr0746","Molecular Function","acid phosphatase activity","GO:0003993"
"Synechocystis","slr0681","Biological Process","transmembrane transport","GO:0055085"
"Synechocystis","slr0681","Cellular Component","integral to membrane","GO:0016021"
"Synechocystis","slr0722","Biological Process","activation of protein kinase C activity by G-protein coupled receptor protein signaling pathway","GO:0007205"
"Synechocystis","slr0722","Biological Process","rRNA processing","GO:0006364"
"Synechocystis","slr0722","Molecular Function","diacylglycerol kinase activity","GO:0004143"
"Synechocystis","slr0722","Molecular Function","methyltransferase activity","GO:0008168"
"Synechocystis","slr0821","Biological Process","sulfur metabolic process","GO:0006790"
"Synechocystis","slr0899","Biological Process","cyanate metabolic process","GO:0009439"
"Synechocystis","slr0899","Biological Process","metabolic process","GO:0008152"
"Synechocystis","slr0899","Molecular Function","DNA binding","GO:0003677"
"Synechocystis","slr0899","Molecular Function","cyanate hydratase activity","GO:0008824"
"Synechocystis","slr0899","Molecular Function","hydro-lyase activity","GO:0016836"
"Synechocystis","slr0900","Biological Process","Mo-molybdopterin cofactor biosynthetic process","GO:0006777"
"Synechocystis","slr0900","Biological Process","molybdopterin cofactor biosynthetic process","GO:0032324"
"Synechocystis","slr0901","Biological Process","Mo-molybdopterin cofactor biosynthetic process","GO:0006777"
"Synechocystis","slr0901","Cellular Component","molybdopterin synthase complex","GO:0019008"
"Synechocystis","slr0901","Molecular Function","4 iron, 4 sulfur cluster binding","GO:0051539"
"Synechocystis","slr0901","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","slr0901","Molecular Function","iron-sulfur cluster binding","GO:0051536"
"Synechocystis","slr0901","Molecular Function","metal ion binding","GO:0046872"
"Synechocystis","slr0902","Biological Process","Mo-molybdopterin cofactor biosynthetic process","GO:0006777"
"Synechocystis","slr0903","Biological Process","Mo-molybdopterin cofactor biosynthetic process","GO:0006777"
"Synechocystis","slr0904","Biological Process","chlorophyll biosynthetic process","GO:0015995"
"Synechocystis","slr0904","Biological Process","photosynthesis","GO:0015979"
"Synechocystis","slr0904","Molecular Function","magnesium chelatase activity","GO:0016851"
"Synechocystis","slr0904","Molecular Function","nucleoside-triphosphatase activity","GO:0017111"
"Synechocystis","slr0904","Molecular Function","nucleotide binding","GO:0000166"
"Synechocystis","slr0905","Biological Process","RNA modification","GO:0009451"
"Synechocystis","slr0905","Biological Process","chlorophyll biosynthetic process","GO:0015995"
"Synechocystis","slr0905","Biological Process","oxidation reduction","GO:0055114"
"Synechocystis","slr0905","Molecular Function","4 iron, 4 sulfur cluster binding","GO:0051539"
"Synechocystis","slr0905","Molecular Function","NADP or NADPH binding","GO:0050661"
"Synechocystis","slr0905","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","slr0905","Molecular Function","cobalamin binding","GO:0031419"
"Synechocystis","slr0905","Molecular Function","iron-sulfur cluster binding","GO:0051536"
"Synechocystis","slr0905","Molecular Function","metal ion binding","GO:0046872"
"Synechocystis","slr0905","Molecular Function","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NADH or NADPH as one donor, and incorporation of one atom of oxygen","GO:0016709"
"Synechocystis","slr0906","Biological Process","photosynthesis, light reaction","GO:0019684"
"Synechocystis","slr0906","Biological Process","photosynthetic electron transport chain","GO:0009767"
"Synechocystis","slr0906","Cellular Component","membrane","GO:0016020"
"Synechocystis","slr0906","Cellular Component","photosystem","GO:0009521"
"Synechocystis","slr0906","Molecular Function","chlorophyll binding","GO:0016168"
"Synechocystis","slr0918","Biological Process","cellular process","GO:0009987"
"Synechocystis","slr0918","Biological Process","proteolysis","GO:0006508"
"Synechocystis","slr0918","Molecular Function","aminopeptidase activity","GO:0004177"
"Synechocystis","slr0918","Molecular Function","metalloexopeptidase activity","GO:0008235"
"Synechocystis","slr0920","Molecular Function","hydrolase activity","GO:0016787"
"Synechocystis","slr0922","Biological Process","translation","GO:0006412"
"Synechocystis","slr0922","Molecular Function","aminoacyl-tRNA hydrolase activity","GO:0004045"
"Synechocystis","slr0923","Biological Process","translation","GO:0006412"
"Synechocystis","slr0923","Cellular Component","intracellular","GO:0005622"
"Synechocystis","slr0923","Cellular Component","plastid","GO:0009536"
"Synechocystis","slr0923","Cellular Component","ribosome","GO:0005840"
"Synechocystis","slr0923","Molecular Function","structural constituent of ribosome","GO:0003735"
"Synechocystis","slr0925","Biological Process","DNA replication","GO:0006260"
"Synechocystis","slr0925","Molecular Function","single-stranded DNA binding","GO:0003697"
"Synechocystis","slr0926","Biological Process","biosynthetic process","GO:0009058"
"Synechocystis","slr0926","Cellular Component","integral to membrane","GO:0016021"
"Synechocystis","slr0926","Molecular Function","prenyltransferase activity","GO:0004659"
"Synechocystis","slr0927","Biological Process","photosynthesis, light reaction","GO:0019684"
"Synechocystis","slr0927","Biological Process","photosynthetic electron transport in photosystem II","GO:0009772"
"Synechocystis","slr0927","Cellular Component","light-harvesting complex","GO:0030076"
"Synechocystis","slr0927","Cellular Component","membrane","GO:0016020"
"Synechocystis","slr0927","Cellular Component","plasma membrane light-harvesting complex","GO:0030077"
"Synechocystis","slr0927","Molecular Function","electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity","GO:0045156"
"Synechocystis","slr0930","Molecular Function","nucleoside-triphosphatase activity","GO:0017111"
"Synechocystis","slr0930","Molecular Function","nucleotide binding","GO:0000166"
"Synechocystis","slr0936","Biological Process","NAD biosynthetic process","GO:0009435"
"Synechocystis","slr0936","Biological Process","metabolic process","GO:0008152"
"Synechocystis","slr0936","Biological Process","pyridine nucleotide biosynthetic process","GO:0019363"
"Synechocystis","slr0936","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","slr0936","Molecular Function","nicotinate-nucleotide diphosphorylase (carboxylating) activity","GO:0004514"
"Synechocystis","slr0938","Biological Process","biosynthetic process","GO:0009058"
"Synechocystis","slr0938","Molecular Function","ATP binding","GO:0005524"
"Synechocystis","slr0940","Biological Process","carotenoid biosynthetic process","GO:0016117"
"Synechocystis","slr0940","Biological Process","oxidation reduction","GO:0055114"
"Synechocystis","slr0940","Molecular Function","carotene 7,8-desaturase activity","GO:0016719"
"Synechocystis","slr0942","Biological Process","oxidation reduction","GO:0055114"
"Synechocystis","slr0942","Molecular Function","oxidoreductase activity","GO:0016491"
"Synechocystis","slr0943","Biological Process","glycolysis","GO:0006096"
"Synechocystis","slr0943","Biological Process","metabolic process","GO:0008152"
"Synechocystis","slr0943","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","slr0943","Molecular Function","fructose-bisphosphate aldolase activity","GO:0004332"
"Synechocystis","slr0944","Biological Process","sodium ion transport","GO:0006814"
"Synechocystis","slr0944","Cellular Component","integral to membrane","GO:0016021"
"Synechocystis","slr0944","Cellular Component","membrane","GO:0016020"
"Synechocystis","slr0944","Molecular Function","bile acid sodium symporter activity","GO:0008508"
"Synechocystis","slr0946","Biological Process","protein amino acid dephosphorylation","GO:0006470"
"Synechocystis","slr0946","Molecular Function","protein tyrosine phosphatase activity","GO:0004725"
"Synechocystis","slr0947","Biological Process","regulation of transcription, DNA-dependent","GO:0006355"
"Synechocystis","slr0947","Biological Process","two-component signal transduction system (phosphorelay)","GO:0000160"
"Synechocystis","slr0947","Molecular Function","DNA binding","GO:0003677"
"Synechocystis","slr0947","Molecular Function","two-component response regulator activity","GO:0000156"
"Synechocystis","slr0949","Biological Process","transport","GO:0006810"
"Synechocystis","slr0949","Cellular Component","membrane","GO:0016020"
"Synechocystis","slr0949","Molecular Function","transporter activity","GO:0005215"
"Synechocystis","slr0950","Biological Process","hemolysis by symbiont of host erythrocytes","GO:0019836"
"Synechocystis","slr0950","Biological Process","methylation","GO:0032259"
"Synechocystis","slr0950","Molecular Function","RNA binding","GO:0003723"
"Synechocystis","slr0950","Molecular Function","methyltransferase activity","GO:0008168"
"Synechocystis","slr0950","Molecular Function","nucleic acid binding","GO:0003676"
"Synechocystis","slr0951","Biological Process","isoprenoid biosynthetic process","GO:0008299"
"Synechocystis","slr0951","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","slr0952","Biological Process","carbohydrate metabolic process","GO:0005975"
